,Page,Title,City,Tag,Link,Logo
57,itviec,Full-Stack Developer,Hồ Chí Minh,Full-Stack Developer,https://careerbuilder.vn/vi/tim-viec-lam/full-stack-developer.35BAD9FD.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
58,itviec,Senior Salesforce Consultant,Hồ Chí Minh,Senior Salesforce Consultant,https://careerbuilder.vn/vi/tim-viec-lam/senior-salesforce-consultant.35BAC2B3.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
59,itviec,Cloud Engineer (R&D Team),Hồ Chí Minh,Cloud Engineer (R&D Team),https://careerbuilder.vn/vi/tim-viec-lam/cloud-engineer-r-d-team.35BACEF4.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
60,itviec,BUSINESS ANALYST (SOFTWARE),Hồ Chí Minh,BUSINESS ANALYST (SOFTWARE),https://careerbuilder.vn/vi/tim-viec-lam/business-analyst-software.35BACF0D.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
61,itviec,Data Engineer,Hồ Chí Minh,Data Engineer,https://careerbuilder.vn/vi/tim-viec-lam/data-engineer.35BACF7E.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
62,itviec,"Manual Tester (Web, Desktop App)",Hồ Chí Minh,"Manual Tester (Web, Desktop App)",https://careerbuilder.vn/vi/tim-viec-lam/manual-tester-web-desktop-app.35BAADAE.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
63,itviec,Chuyên Viên Lập Trình PHP/Magento,Hồ Chí Minh,Chuyên Viên Lập Trình PHP/Magento,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-lap-trinh-php-magento.35BAADA9.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
64,itviec,Java Developers,Hồ Chí Minh,Java Developers,https://careerbuilder.vn/vi/tim-viec-lam/java-developers.35BAADD2.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
65,itviec,Kỹ sư lập trình mobile,"Hà Nội
Hồ Chí Minh",Kỹ sư lập trình mobile,https://careerbuilder.vn/vi/tim-viec-lam/ky-su-lap-trinh-mobile.35BA9A0C.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
66,itviec,HCM - IT Application Development Team Leader,Hồ Chí Minh,HCM - IT Application Development Team Leader,https://careerbuilder.vn/vi/tim-viec-lam/hcm-it-application-development-team-leader.35BA9A37.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
67,itviec,Chuyên viên Phân tích nghiệp vụ (BA),Hà Nội,Chuyên viên Phân tích nghiệp vụ (BA),https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-nghiep-vu-ba.35BA5994.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
68,itviec,HCM - Full Stack Developer/IT Application Development Specialist,Hồ Chí Minh,HCM - Full Stack Developer/IT Application Development Specialist,https://careerbuilder.vn/vi/tim-viec-lam/hcm-full-stack-developer-it-application-development-specialist.35BA937C.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
69,itviec,Nhân Viên IT,Hồ Chí Minh,Nhân Viên IT,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-it.35BA5394.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
70,itviec,Chuyên Gia Công Nghệ Vận Hành,Hà Nội,Chuyên Gia Công Nghệ Vận Hành,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-gia-cong-nghe-van-hanh.35BA5405.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
71,itviec,Kiến Trúc Sư,Hà Nội,Kiến Trúc Sư,https://careerbuilder.vn/vi/tim-viec-lam/kien-truc-su.35BA7FBB.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
72,itviec,Automation Engineering Manager,Hồ Chí Minh,Automation Engineering Manager,https://careerbuilder.vn/vi/tim-viec-lam/automation-engineering-manager.35BA79F1.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
